YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,2,5,EV,5543,N846AS,BTV,DTW,0900,0848,-12,9,0857,137,97,537,1034,6,1117,1040,-37,0,0,X,0,0,0,0,0
2015,1,1,4,WN,710,N715SW,BUR,LAS,1345,1346,1,10,1356,60,42,223,1438,7,1445,1445,0,0,0,X,0,0,0,0,0
2015,1,1,4,US,1760,N624AW,CLT,FLL,1435,1431,-4,14,1445,117,90,631,1615,3,1632,1618,-14,0,0,X,0,0,0,0,0
2015,1,2,5,WN,1394,N941WN,DCA,IND,1045,1040,-5,19,1059,115,94,500,1233,4,1240,1237,-3,0,0,X,0,0,0,0,0
2015,1,1,4,VX,315,N854VA,MCO,LAX,1715,1725,10,15,1740,340,294,2218,1934,14,1955,1948,-7,0,0,X,0,0,0,0,0
2015,1,2,5,WN,880,N705SW,MEM,MCO,1035,1036,1,10,1046,110,95,684,1321,9,1325,1330,5,0,0,X,0,0,0,0,0
2015,1,2,5,MQ,3556,N821MQ,LGA,ORF,0929,0934,5,20,0954,88,56,296,1050,5,1057,1055,-2,0,0,X,0,0,0,0,0
2015,1,1,4,WN,1598,N8637A,LAS,MDW,0950,0953,3,9,1002,205,174,1521,1456,5,1515,1501,-14,0,0,X,0,0,0,0,0
2015,1,1,4,WN,1660,N8623F,BNA,DEN,1425,1423,-2,11,1434,180,157,1014,1611,8,1625,1619,-6,0,0,X,0,0,0,0,0
2015,1,1,4,OO,6256,N706SK,DEN,FSD,1950,2157,127,48,2245,88,74,483,0059,4,2218,0103,165,0,0,X,38,0,0,81,46
2015,1,1,4,AA,1354,N504AA,MCO,DFW,1115,1109,-6,15,1124,175,155,985,1259,14,1310,1313,3,0,0,X,0,0,0,0,0
2015,1,2,5,WN,2453,N401WN,LAS,ATL,0925,1028,63,13,1041,225,197,1747,1658,11,1610,1709,59,0,0,X,0,0,33,26,0
2015,1,1,4,EV,5444,N839AS,ATL,LAN,1950,1945,-5,10,1955,119,84,631,2119,5,2149,2124,-25,0,0,X,0,0,0,0,0
2015,1,2,5,EV,4654,N11539,HRL,IAH,1047,1107,20,19,1126,72,49,295,1215,6,1159,1221,22,0,0,X,2,0,0,20,0
2015,1,1,4,UA,1507,N31412,TPA,EWR,0555,0549,-6,9,0558,156,131,997,0809,9,0831,0818,-13,0,0,X,0,0,0,0,0
